id,title,reviews
35786,Гранд фэмили,"[['152898', '10'], ['108857', '10'], ['87773', '4.0']]"
31279,Lawson's Bar,"[['102729', '4.7'], ['99781', '9.3'], ['88627', '8.0'], ['84949', '8.7']]"
34193,Заправка,"[['118299', '7.7'], ['118322', '8.0'], ['118323', '8.0'], ['118233', '8.0'], ['118307', '8.0']]"
30647,Boston Seafood & Bar,"[['174459', '8.7'], ['170240', '3.3'], ['166057', '8.3'], ['101790', '8.0'], ['114261', '8.3'], ['114142', '7.7'], ['101023', '10'], ['89294', '8.3']]"
30712,Vietcafé,"[['116843', '8.3'], ['118369', '8.0'], ['86630', '7.0'], ['86733', '8.3'], ['86605', '9.0']]"
31653,Домжур,"[['103157', '10'], ['87825', '6.7']]"
43015,Алмаз,"[['152779', '7.7'], ['151715', '7.0'], ['150564', '7.3'], ['150119', '7.0'], ['148777', '8.0'], ['148011', '8.3'], ['147568', '8.0'], ['147227', '8.7']]"
37676,Рыбы нет,"[['183622', '5.3'], ['169142', '7.0'], ['149349', '5.7'], ['143222', '1.3'], ['101770', '7.7'], ['101792', '9.0'], ['102492', '8.7'], ['101759', '8.3'], ['87315', '10']]"
38842,Semenov,"[['201885', '10'], ['150692', '8.7'], ['163074', '9.0'], ['151275', '2.7'], ['150070', '10'], ['139632', '9.7'], ['138283', '7.7'], ['137948', '9.3']]"
32580,Суп,"[['116101', '8.7'], ['114229', '8.3'], ['118316', '8.7'], ['108005', '4.7'], ['85755', '9.0']]"
31312,Почтмейстер,"[['1840', '8.0']]"
47031,Lila Asia,"[['197081', '2.0'], ['189268', '9.0'], ['184721', '9.0']]"
34722,Якитория,"[['100888', '8.0'], ['92481', '8.7']]"
41851,Eataly,"[['189418', '3.3'], ['161729', '8.0'], ['54935', '10']]"
32669,Эссе,"[['118464', '9.0'], ['117748', '8.7'], ['117749', '8.3'], ['89407', '7.3'], ['89417', '8.3']]"
