id_restourant,title,id_users,rating
37687,Птицы и пчелы,88356,9.7
30873,Ю-мэ,94038,9.3
30873,Ю-мэ,86422,9.3
30873,Ю-мэ,86617,8.3
30873,Ю-мэ,86293,8.7
46361,Stairs,195035,8.3
46361,Stairs,193103,5.7
46361,Stairs,178058,9.7
46361,Stairs,192602,10.0
46361,Stairs,137225,9.3
46361,Stairs,188030,3.0
46361,Stairs,186671,3.0
31160,Сирена,154942,9.0
31160,Сирена,153697,9.0
31160,Сирена,153047,8.7
31160,Сирена,152324,8.3
31160,Сирена,152323,9.0
31160,Сирена,151204,8.7
31160,Сирена,151208,8.3
31160,Сирена,110437,7.7
31160,Сирена,154943,9.3
31160,Сирена,108029,7.0
31160,Сирена,101757,9.3
31160,Сирена,102451,8.7
31160,Сирена,102543,9.0
31160,Сирена,101894,8.3
31160,Сирена,87313,10.0
37471,Osteria Di Campagna,86728,9.7
37471,Osteria Di Campagna,86751,10.0
37471,Osteria Di Campagna,86744,9.3
37471,Osteria Di Campagna,86583,9.0
46710,Les Olé,181619,7.7
46710,Les Olé,137225,9.7
46710,Les Olé,183274,10.0
46710,Les Olé,183225,10.0
46710,Les Olé,183218,10.0
46710,Les Olé,183067,10.0
46710,Les Olé,183034,10.0
46710,Les Olé,182981,10.0
46710,Les Olé,182974,10.0
46710,Les Olé,182950,10.0
46710,Les Olé,182933,10.0
46710,Les Olé,182878,10.0
31583,Chips,192761,3.7
31583,Chips,191716,8.7
31583,Chips,163882,9.0
31583,Chips,145395,5.0
31583,Chips,117509,8.0
31583,Chips,113938,9.0
31583,Chips,101759,9.0
31583,Chips,101792,8.7
31583,Chips,90760,9.0
31583,Chips,87314,9.7
34426,China Garden,86733,10.0
34426,China Garden,86604,9.7
34426,China Garden,86630,8.0
31430,Novikov,90929,8.3
31430,Novikov,112729,8.3
31430,Novikov,101770,7.0
31430,Novikov,114261,8.3
31430,Novikov,90262,9.7
31430,Novikov,87049,9.0
31430,Novikov,84259,9.7
43288,КрабыКутабы,201243,7.0
43288,КрабыКутабы,199973,9.3
43288,КрабыКутабы,196520,3.7
43288,КрабыКутабы,149393,4.3
43288,КрабыКутабы,191789,10.0
43288,КрабыКутабы,191606,9.7
43288,КрабыКутабы,191156,3.3
43288,КрабыКутабы,191147,1.0
43288,КрабыКутабы,188304,6.7
43288,КрабыКутабы,187043,3.3
43288,КрабыКутабы,181619,9.3
43288,КрабыКутабы,184879,1.7
43288,КрабыКутабы,184578,8.3
43288,КрабыКутабы,179491,4.7
43288,КрабыКутабы,174519,10.0
43288,КрабыКутабы,174459,8.7
43288,КрабыКутабы,174432,6.0
43288,КрабыКутабы,172879,5.7
43288,КрабыКутабы,171058,4.0
43288,КрабыКутабы,158274,9.3
43288,КрабыКутабы,157433,3.0
43288,КрабыКутабы,152489,8.3
43288,КрабыКутабы,154944,8.7
43288,КрабыКутабы,154522,3.7
43288,КрабыКутабы,148881,6.3
47202,Barbosco,191030,5.3
47202,Barbosco,181619,9.0
47202,Barbosco,188131,10.0
46642,Igloobar,198845,1.0
46642,Igloobar,197641,8.5
46642,Igloobar,196183,7.0
46642,Igloobar,196182,9.0
46642,Igloobar,196158,8.3
46642,Igloobar,196103,2.3
46642,Igloobar,196098,7.3
46642,Igloobar,196054,9.3
46642,Igloobar,196053,8.7
46642,Igloobar,195991,10.0
46642,Igloobar,195990,9.0
46642,Igloobar,195950,9.3
46642,Igloobar,195949,10.0
46642,Igloobar,195882,9.7
46642,Igloobar,195880,10.0
46642,Igloobar,195842,10.0
46642,Igloobar,195840,9.3
46642,Igloobar,195838,8.7
46642,Igloobar,195587,3.7
46642,Igloobar,194989,6.7
46642,Igloobar,194547,10.0
46642,Igloobar,194493,10.0
46642,Igloobar,194468,10.0
46642,Igloobar,194409,10.0
46642,Igloobar,193981,10.0
46642,Igloobar,193924,10.0
46642,Igloobar,193883,10.0
46642,Igloobar,193704,10.0
46642,Igloobar,192989,10.0
46642,Igloobar,192874,10.0
46642,Igloobar,192434,10.0
46642,Igloobar,191961,9.0
46642,Igloobar,191878,8.7
46642,Igloobar,191853,10.0
46642,Igloobar,191745,10.0
46642,Igloobar,190765,9.7
46642,Igloobar,190528,10.0
46642,Igloobar,190346,9.7
46642,Igloobar,190055,9.0
46642,Igloobar,190042,10.0
46642,Igloobar,189883,9.7
46642,Igloobar,189189,1.0
46642,Igloobar,189088,10.0
46642,Igloobar,188800,10.0
46642,Igloobar,188634,9.7
46642,Igloobar,188575,10.0
46642,Igloobar,188340,10.0
46642,Igloobar,188225,10.0
46642,Igloobar,187861,9.7
46642,Igloobar,187862,1.0
46642,Igloobar,187759,10.0
46642,Igloobar,187496,10.0
46642,Igloobar,187404,10.0
46642,Igloobar,187089,9.7
46642,Igloobar,186996,10.0
46642,Igloobar,186430,9.7
46642,Igloobar,186221,5.0
46642,Igloobar,186127,9.7
46642,Igloobar,185785,10.0
46642,Igloobar,185714,9.7
46642,Igloobar,185540,1.0
46642,Igloobar,185278,1.0
46642,Igloobar,185136,3.3
46642,Igloobar,185134,6.0
46642,Igloobar,180297,10.0
46642,Igloobar,180217,10.0
46642,Igloobar,180216,10.0
46642,Igloobar,180215,10.0
46642,Igloobar,180214,10.0
30684,Барашка,201469,5.3
30684,Барашка,154205,9.3
30684,Барашка,154204,10.0
30684,Барашка,1840,9.0
30684,Барашка,87314,10.0
33327,Артяшок & La veranda,158887,9.7
33327,Артяшок & La veranda,101944,9.7
