id,title,reviews
30888,Ess-Thetik,"[['101029', '5.3']]"
41627,Клубный дом Svoy,"[['152976', '10']]"
31062,Журфак,"[['166480', '10']]"
31068,Il pittore,"[['174459', '10']]"
31230,"Дорогая, я перезвоню..,","[['90238', '7.3']]"
31400,ExLibris,"[['91626', '8.0']]"
36619,Барбари,"[['110331', '5.0']]"
32504,Бамбук,"[['150707', '5.3']]"
36089,Бахтриони,"[['152357', '10']]"
40859,Haze Rooms,"[['108188', '10']]"
35226,Хинкал-палас,"[['104199', '3.0']]"
31968,Мой двор,"[['196081', '1.0'], ['99460', '8.7']]"
30938,Метехи,"[['140634', '6.7']]"
40314,Доктор Ватсон,"[['150147', '9.7']]"
35123,Ribambelle,"[['89389', '9.3']]"
31300,Анджело,"[['87811', '9.3']]"
31652,Paul,"[['118137', '8.3'], ['86760', '9.0']]"
46180,От и до,"[['174987', '10']]"
33058,Grand Alexander,"[['90264', '9.0']]"
36038,Vikicake,"[['92788', '10'], ['92024', '10']]"
31964,Византий,"[['141171', '10']]"
35843,White Eagles Pub,"[['90330', '9.0']]"
36998,Буржуа,"[['149170', '10']]"
32943,Артико,"[['99972', '2.0'], ['90952', '10'], ['87811', '10']]"
32457,Ариана,"[['90972', '9.0']]"
41488,Catering in Time,"[['142613', '10'], ['141694', '10'], ['141212', '10'], ['140834', '10']]"
37660,Имерети,"[['86614', '8.7']]"
